id,stateAbbr,stateName,incomeTaxRate,incomeGreaterThan,incomeNotGreaterThan
36,NY,New York,0.045,8400,11600
36,NY,New York,0.0525,11600,13750
36,NY,New York,0.059,13750,21150
36,NY,New York,0.0645,21150,79600
36,NY,New York,0.0665,79600,212500
36,NY,New York,0.0685,212500,1115850
36,NY,New York,0.0882,1115850,
31,NE,Nebraska,0.0575,0,
32,NV,Nevada,0.0122,0,36900
32,NV,Nevada,0.0227,36900,89350
32,NV,Nevada,0.0252,89350,186350
32,NV,Nevada,0.0293,186350,405100
32,NV,Nevada,0.0322,405100,
39,OH,Ohio,0.00528,0,5200
39,OH,Ohio,0.01057,5200,10400
39,OH,Ohio,0.02113,10400,15650
39,OH,Ohio,0.02642,15650,20900
39,OH,Ohio,0.03169,20900,41700
39,OH,Ohio,0.03698,41700,83350
39,OH,Ohio,0.04226,83350,104250
39,OH,Ohio,0.02906,104250,208500
39,OH,Ohio,0.05333,208500,
40,OK,Oklahoma,0.005,0,1000
40,OK,Oklahoma,0.01,1000,2500
40,OK,Oklahoma,0.02,2500,3750
40,OK,Oklahoma,0.03,3750,4900
40,OK,Oklahoma,0.04,4900,7200
40,OK,Oklahoma,0.05,7200,8700
40,OK,Oklahoma,0.0525,8700,
41,OR,Oregon,0.05,0,3350
41,OR,Oregon,0.07,3350,8400
41,OR,Oregon,0.09,8400,125000
41,OR,Oregon,0.099,125000,
42,PA,Pennsylvania,0.0307,0,
44,RI,Rhode Island,0.0375,0,60550
44,RI,Rhode Island,0.0475,60550,137650
44,RI,Rhode Island,0.0599,137650,2880
45,SC,South Carolina,0.03,2880,5760
45,SC,South Carolina,0.04,5760,8640
45,SC,South Carolina,0.05,8640,11520
45,SC,South Carolina,0.06,11520,14400
45,SC,South Carolina,0.07,14400,
46,SD,South Dakota,0,0,
47,TN,Tennessee,0.06,0,
48,TX,Texas,0,0,
49,UT,Utah,0.05,0,
51,VA,Virginia,0.0355,0,36900
51,VA,Virginia,0.068,36900,89350
51,VA,Virginia,0.078,89350,186350
51,VA,Virginia,0.088,186350,405100
51,VA,Virginia,0.0895,405100,
50,VT,Vermont,0.02,0,3000
50,VT,Vermont,0.03,3000,5000
50,VT,Vermont,0.05,5000,17000
50,VT,Vermont,0.0575,17000,
54,WV,West Virginia,0,0,
53,WA,Washington,0.03,0,10000
53,WA,Washington,0.04,10000,25000
53,WA,Washington,0.045,25000,40000
53,WA,Washington,0.06,40000,60000
53,WA,Washington,0.065,60000,
55,WI,Wisconsin,0.04,0,10910
55,WI,Wisconsin,0.0584,10910,21820
55,WI,Wisconsin,0.0627,21820,240190
55,WI,Wisconsin,0.0765,240190,
56,WY,Wyoming,0,0,
