state,county,cbsa,rpp-in-100-dollars,name
5,5029,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5031,27860,122.3990208,"Jonesboro, AR (Metropolitan Statistical Area)"
5,5033,22900,116.1440186,"Fort Smith, AR-OK (Metropolitan Statistical Area)"
5,5035,32820,108.577633,"Memphis, TN-MS-AR (Metropolitan Statistical Area)"
5,5037,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5039,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5041,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5043,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5045,30780,109.8901099,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)"
5,5047,22900,116.1440186,"Fort Smith, AR-OK (Metropolitan Statistical Area)"
5,5049,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5051,26300,117.0960187,"Hot Springs, AR (Metropolitan Statistical Area)"
5,5053,30780,109.8901099,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)"
5,5055,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5057,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5059,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5061,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5063,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5065,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5067,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5069,38220,118.2033097,"Pine Bluff, AR (Metropolitan Statistical Area)"
5,5071,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5073,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5075,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5077,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5079,38220,118.2033097,"Pine Bluff, AR (Metropolitan Statistical Area)"
5,5081,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5083,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5085,30780,109.8901099,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)"
5,5087,22220,110.864745,"Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)"
5,5089,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5091,45500,113.3786848,"Texarkana, TX-AR (Metropolitan Statistical Area)"
5,5093,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5095,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5097,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5099,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5101,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5103,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5105,30780,109.8901099,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)"
5,5107,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5109,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5111,27860,122.3990208,"Jonesboro, AR (Metropolitan Statistical Area)"
5,5113,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5115,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5117,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5119,30780,109.8901099,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)"
5,5121,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5123,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5125,30780,109.8901099,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)"
5,5127,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5129,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5131,22900,116.1440186,"Fort Smith, AR-OK (Metropolitan Statistical Area)"
5,5133,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5135,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5137,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5139,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5141,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5143,22220,110.864745,"Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)"
5,5145,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5147,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5149,,118.7648456,Arkansas (Nonmetropolitan Portion)
6,6001,41860,83.12551953,"San Francisco-Oakland-Hayward, CA (Metropolitan Statistical Area)"
6,6003,,102.5641026,California (Nonmetropolitan Portion)
6,6005,,102.5641026,California (Nonmetropolitan Portion)
6,6007,17020,99.8003992,"Chico, CA (Metropolitan Statistical Area)"
6,6009,,102.5641026,California (Nonmetropolitan Portion)
6,6011,,102.5641026,California (Nonmetropolitan Portion)
6,6013,41860,83.12551953,"San Francisco-Oakland-Hayward, CA (Metropolitan Statistical Area)"
6,6015,,102.5641026,California (Nonmetropolitan Portion)
6,6017,40900,97.46588694,"Sacramento--Roseville--Arden-Arcade, CA (Metropolitan Statistical Area)"
6,6019,23420,102.2494888,"Fresno, CA (Metropolitan Statistical Area)"
6,6021,,102.5641026,California (Nonmetropolitan Portion)
6,6023,,102.5641026,California (Nonmetropolitan Portion)
6,6025,20940,109.7694841,"El Centro, CA (Metropolitan Statistical Area)"
6,6027,,102.5641026,California (Nonmetropolitan Portion)
6,6029,12540,102.3541453,"Bakersfield, CA (Metropolitan Statistical Area)"
6,6031,25260,106.0445387,"Hanford-Corcoran, CA (Metropolitan Statistical Area)"
6,6033,,102.5641026,California (Nonmetropolitan Portion)
6,6035,,102.5641026,California (Nonmetropolitan Portion)
6,6037,,102.5641026,California (Nonmetropolitan Portion)
6,6039,31460,103.3057851,"Madera, CA (Metropolitan Statistical Area)"
6,6041,41860,83.12551953,"San Francisco-Oakland-Hayward, CA (Metropolitan Statistical Area)"
6,6043,,102.5641026,California (Nonmetropolitan Portion)
6,6045,,102.5641026,California (Nonmetropolitan Portion)
6,6047,32900,104.3841336,"Merced, CA (Metropolitan Statistical Area)"
6,6049,,102.5641026,California (Nonmetropolitan Portion)
6,6051,,102.5641026,California (Nonmetropolitan Portion)
6,6053,41500,92.67840593,"Salinas, CA (Metropolitan Statistical Area)"
6,6055,34900,84.81764207,"Napa, CA (Metropolitan Statistical Area)"
6,6057,,102.5641026,California (Nonmetropolitan Portion)
6,6059,,102.5641026,California (Nonmetropolitan Portion)
6,6061,40900,97.46588694,"Sacramento--Roseville--Arden-Arcade, CA (Metropolitan Statistical Area)"
6,6063,,102.5641026,California (Nonmetropolitan Portion)
6,6065,40140,94.33962264,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)"
6,6067,40900,97.46588694,"Sacramento--Roseville--Arden-Arcade, CA (Metropolitan Statistical Area)"
6,6069,41940,82.44023083,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)"
6,6071,40140,94.33962264,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)"
6,6073,41740,85.03401361,"San Diego-Carlsbad, CA (Metropolitan Statistical Area)"
6,6075,41860,83.12551953,"San Francisco-Oakland-Hayward, CA (Metropolitan Statistical Area)"
6,6077,44700,99.30486594,"Stockton-Lodi, CA (Metropolitan Statistical Area)"
6,6079,42020,93.37068161,"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metropolitan Statistical Area)"
6,6081,41860,83.12551953,"San Francisco-Oakland-Hayward, CA (Metropolitan Statistical Area)"
6,6083,,102.5641026,California (Nonmetropolitan Portion)
6,6085,41940,82.44023083,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)"
6,6087,42100,82.98755187,"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)"
6,6089,39820,101.6260163,"Redding, CA (Metropolitan Statistical Area)"
6,6091,,102.5641026,California (Nonmetropolitan Portion)
6,6093,,102.5641026,California (Nonmetropolitan Portion)
6,6095,46700,86.95652174,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)"
6,6097,42220,85.3970965,"Santa Rosa, CA (Metropolitan Statistical Area)"
6,6099,33700,100.7049345,"Modesto, CA (Metropolitan Statistical Area)"
6,6101,49700,101.1122346,"Yuba City, CA (Metropolitan Statistical Area)"
6,6103,,102.5641026,California (Nonmetropolitan Portion)
6,6105,,102.5641026,California (Nonmetropolitan Portion)
6,6107,47300,104.6025105,"Visalia-Porterville, CA (Metropolitan Statistical Area)"
6,6109,,102.5641026,California (Nonmetropolitan Portion)
6,6111,37100,87.41258741,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)"
6,6113,40900,97.46588694,"Sacramento--Roseville--Arden-Arcade, CA (Metropolitan Statistical Area)"
6,6115,49700,101.1122346,"Yuba City, CA (Metropolitan Statistical Area)"
8,8001,19740,95.41984733,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)"
8,8003,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8005,19740,95.41984733,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)"
8,8007,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8009,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8011,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8013,14500,91.40767824,"Boulder, CO (Metropolitan Statistical Area)"
8,8014,19740,95.41984733,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)"
8,8015,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8017,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8019,19740,95.41984733,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)"
8,8021,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8023,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8025,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8027,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8029,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8031,19740,95.41984733,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)"
8,8033,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8035,19740,95.41984733,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)"
8,8037,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8039,19740,95.41984733,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)"
8,8041,17820,100.6036217,"Colorado Springs, CO (Metropolitan Statistical Area)"
8,8043,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8045,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8047,19740,95.41984733,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)"
8,8049,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8051,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8053,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8055,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8057,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8059,19740,95.41984733,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)"
8,8061,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8063,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8065,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8067,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8069,22660,99.00990099,"Fort Collins, CO (Metropolitan Statistical Area)"
8,8071,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8073,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8075,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8077,24300,105.4852321,"Grand Junction, CO (Metropolitan Statistical Area)"
8,8079,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8081,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8083,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8085,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8087,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8089,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8091,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8093,19740,95.41984733,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)"
8,8095,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8097,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8099,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8101,39380,107.7586207,"Pueblo, CO (Metropolitan Statistical Area)"
8,8103,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8105,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8107,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8109,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8111,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8113,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8115,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8117,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8119,17820,100.6036217,"Colorado Springs, CO (Metropolitan Statistical Area)"
8,8121,,103.8421599,Colorado (Nonmetropolitan Portion)
8,8123,24540,101.5228426,"Greeley, CO (Metropolitan Statistical Area)"
8,8125,,103.8421599,Colorado (Nonmetropolitan Portion)
9,9001,14860,82.78145695,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)"
9,9003,25540,99.60159363,"Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)"
9,9005,,97.75171065,Connecticut (Nonmetropolitan Portion)
9,9007,25540,99.60159363,"Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)"
9,9009,35300,88.4173298,"New Haven-Milford, CT (Metropolitan Statistical Area)"
9,9011,35980,99.20634921,"Norwich-New London, CT (Metropolitan Statistical Area)"
9,9013,25540,99.60159363,"Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)"
9,9015,,97.75171065,Connecticut (Nonmetropolitan Portion)
10,10001,20100,106.7235859,"Dover, DE (Metropolitan Statistical Area)"
10,10003,37980,92.67840593,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)"
10,10005,,#N/A,#N/A
11,11001,47900,83.47245409,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)"
12,12001,23540,104.4932079,"Gainesville, FL (Metropolitan Statistical Area)"
12,12003,27260,104.0582726,"Jacksonville, FL (Metropolitan Statistical Area)"
12,12005,37460,104.7120419,"Panama City, FL (Metropolitan Statistical Area)"
12,12007,,112.8668172,Florida (Nonmetropolitan Portion)
12,12009,37340,105.1524711,"Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)"
12,12011,33100,95.05703422,"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)"
12,12013,,112.8668172,Florida (Nonmetropolitan Portion)
12,12015,39460,105.4852321,"Punta Gorda, FL (Metropolitan Statistical Area)"
12,12017,26140,112.1076233,"Homosassa Springs, FL (Metropolitan Statistical Area)"
12,12019,27260,104.0582726,"Jacksonville, FL (Metropolitan Statistical Area)"
12,12021,34940,100.9081736,"Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)"
12,12023,,112.8668172,Florida (Nonmetropolitan Portion)
12,12027,,112.8668172,Florida (Nonmetropolitan Portion)
12,12029,,112.8668172,Florida (Nonmetropolitan Portion)
12,12031,27260,104.0582726,"Jacksonville, FL (Metropolitan Statistical Area)"
12,12033,37860,105.9322034,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)"
12,12035,,112.8668172,Florida (Nonmetropolitan Portion)
12,12037,,112.8668172,Florida (Nonmetropolitan Portion)
12,12039,45220,105.2631579,"Tallahassee, FL (Metropolitan Statistical Area)"
12,12041,23540,104.4932079,"Gainesville, FL (Metropolitan Statistical Area)"
12,12043,,112.8668172,Florida (Nonmetropolitan Portion)
12,12045,,112.8668172,Florida (Nonmetropolitan Portion)
12,12047,,112.8668172,Florida (Nonmetropolitan Portion)
12,12049,,112.8668172,Florida (Nonmetropolitan Portion)
12,12051,,112.8668172,Florida (Nonmetropolitan Portion)
12,12053,45300,100.5025126,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)"
12,12055,42700,118.0637544,"Sebring, FL (Metropolitan Statistical Area)"
12,12057,45300,100.5025126,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)"
12,12059,,112.8668172,Florida (Nonmetropolitan Portion)
12,12061,42680,110.7419712,"Sebastian-Vero Beach, FL (Metropolitan Statistical Area)"
12,12063,,112.8668172,Florida (Nonmetropolitan Portion)
12,12065,45220,105.2631579,"Tallahassee, FL (Metropolitan Statistical Area)"
12,12067,,112.8668172,Florida (Nonmetropolitan Portion)
12,12069,36740,102.145046,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)"
12,12071,15980,105.1524711,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)"
12,12073,45220,105.2631579,"Tallahassee, FL (Metropolitan Statistical Area)"
12,12075,,112.8668172,Florida (Nonmetropolitan Portion)
12,12077,,112.8668172,Florida (Nonmetropolitan Portion)
12,12079,,112.8668172,Florida (Nonmetropolitan Portion)
12,12081,35840,101.2145749,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)"
12,12083,36100,109.2896175,"Ocala, FL (Metropolitan Statistical Area)"
12,12085,38940,104.3841336,"Port St. Lucie, FL (Metropolitan Statistical Area)"
12,12086,33100,95.05703422,"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)"
12,12087,,112.8668172,Florida (Nonmetropolitan Portion)
12,12089,27260,104.0582726,"Jacksonville, FL (Metropolitan Statistical Area)"
12,12091,18880,104.3841336,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)"
12,12093,,112.8668172,Florida (Nonmetropolitan Portion)
12,12095,36740,102.145046,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)"
12,12097,36740,102.145046,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)"
12,12099,33100,95.05703422,"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)"
12,12101,45300,100.5025126,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)"
12,12103,45300,100.5025126,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)"
12,12105,29460,106.8376068,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)"
12,12107,,112.8668172,Florida (Nonmetropolitan Portion)
12,12109,27260,104.0582726,"Jacksonville, FL (Metropolitan Statistical Area)"
12,12111,38940,104.3841336,"Port St. Lucie, FL (Metropolitan Statistical Area)"
12,12113,37860,105.9322034,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)"
12,12115,35840,101.2145749,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)"
12,12117,36740,102.145046,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)"
12,12119,45540,111.8568233,"The Villages, FL (Metropolitan Statistical Area)"
12,12121,,112.8668172,Florida (Nonmetropolitan Portion)
